purchases,time_spent,n_visits,lead_id,lead_indicator,date_part,source,customer_group,onboarding,customer_code,bin_source
0.271611825747159,0.512086024922989,0.7030933997370894,2,1.0,2024-01-27,signup,5,False,STWPXVNOWA,group1
0.832367608877567,0.6483304861554644,0.14061867994741786,10,0.0,2024-01-11,signup,4,True,JWLXPVANUM,group1
0.6080652956254038,0.1666202917783024,0.18749157326322383,13,0.0,2024-01-22,signup,6,True,WNKCTHUHYI,group1
0.49591413899932213,0.6747763483215481,0.3281102532106417,17,1.0,2024-01-07,signup,8,False,INIQMTGGOO,group1
0.271611825747159,0.36628791884277456,0.8905849730003133,19,0.0,2024-01-20,signup,9,True,SJGDAANOYJ,group1
0.49591413899932213,0.07953210234708541,0.04687289331580596,22,0.0,2024-01-06,signup,3,True,SPWNMQUWDX,group1
0.15946066912107737,0.8015695404631513,0.6562205064212835,27,1.0,2024-01-30,signup,1,True,IAPSPPLUZL,group1
0.271611825747159,0.0,0.9843307596319252,28,1.0,2024-01-11,signup,8,True,EDWMENKILD,group1
0.6080652956254038,0.8681807185956885,0.0,29,0.0,2024-01-09,signup,3,False,DNGAQVVEDN,group1
0.49591413899932213,0.9871628783591304,0.23436446657902976,30,1.0,2024-01-20,signup,4,False,WSQVNMPZOH,group1
0.3837629823732406,0.166369436936193,0.2812373598948357,32,0.0,2024-01-20,signup,9,False,GKIHITQJGU,group1
0.49591413899932213,0.9170773433859858,0.5156018264738655,33,1.0,2024-01-31,signup,4,True,QOVDCTYYGT,group1
0.271611825747159,0.4310933386620297,0.14061867994741786,36,0.0,2024-01-28,signup,6,True,KYUCVVIKET,group1
0.49591413899932213,0.9922382781755621,0.37498314652644765,38,1.0,2024-01-02,signup,2,True,HFELNNHTEW,group1
0.49591413899932213,0.41777256438540533,0.14061867994741786,40,0.0,2024-01-01,signup,3,False,HOVYUZIDIO,group1
0.3837629823732406,0.36373736442220483,0.04687289331580596,41,0.0,2024-01-09,signup,6,False,BBRMJIJJBF,group1
0.9999999999999999,0.4090292775076092,0.5624747197896716,43,1.0,2024-01-13,signup,4,False,PWSIBFQQXN,group1
0.832367608877567,0.09927878487948893,0.04687289331580596,44,0.0,2024-01-31,signup,8,True,XNVURJEHVZ,group1
0.832367608877567,0.4603572205632793,0.4218560398422536,49,0.0,2024-01-29,signup,1,False,CPADDAXJVL,group1
0.9445187655036485,0.388960148064061,0.23436446657902976,55,1.0,2024-01-16,signup,9,False,ZQFIPOQZHG,group1
0.6080652956254038,0.2574586735983879,0.0937457866316119,57,0.0,2024-01-31,signup,9,False,JFLRBCHQYR,group1
0.9999999999999999,0.500859140967024,0.23436446657902976,58,0.0,2024-01-26,signup,7,True,SOMOYBNEQM,group1
0.6080652956254038,0.594909759658738,0.6093476131054775,61,0.0,2024-01-03,signup,6,True,BTDCFQUACC,group1
0.6080652956254038,0.3559622402546956,0.18749157326322383,68,0.0,2024-01-02,signup,9,False,HTUIUEAPSS,group1
0.3837629823732406,0.7149028585520303,0.04687289331580596,72,0.0,2024-01-15,signup,5,True,KQAKBGLQBJ,group1
0.271611825747159,0.7926915539965163,0.4218560398422536,87,1.0,2024-01-26,signup,7,False,XJMJZQDDJC,group1
0.49591413899932213,0.3035231713990538,0.18749157326322383,88,1.0,2024-01-19,signup,5,False,ILBYCVCCZP,group1
0.7202164522514855,0.8926997795030327,0.3281102532106417,93,1.0,2024-01-12,signup,3,True,BNJNDMKIOK,group1
0.49591413899932213,0.5153025079519198,0.18749157326322383,95,0.0,2024-01-07,signup,1,False,JBJDCNSVYQ,group1
0.15946066912107737,0.571369175499755,0.4687289331580596,97,0.0,2024-01-12,signup,3,False,EVTQSTMJAY,group1
0.3837629823732406,0.07692044291358213,0.6562205064212835,104,1.0,2024-01-02,signup,1,True,IROQPSWYUC,group1
0.9999999999999999,0.5695791436043018,0.5624747197896716,107,1.0,2024-01-17,signup,2,True,YHGCDBUZOO,group1
0.271611825747159,0.3627850740264744,0.0,109,0.0,2024-01-23,signup,2,True,TUKZRKNGZC,group1
0.6080652956254038,0.7026395712495574,0.14061867994741786,110,0.0,2024-01-01,signup,4,True,NWTUJSIWDD,group1
0.271611825747159,0.6564622388775478,0.2812373598948357,112,1.0,2024-01-18,signup,4,True,BPQXMGSSGK,group1
0.3837629823732406,0.539155043596943,1.0,116,1.0,2024-01-28,signup,3,False,ANVCOQDWPG,group1
0.3837629823732406,0.33195142679546263,0.8437120796845072,126,1.0,2024-01-12,signup,3,True,NBUXBYCSKE,group1
0.49591413899932213,0.7826939604789338,0.18749157326322383,130,0.0,2024-01-04,signup,5,True,FBOBLIOYHV,group1
0.7202164522514855,0.3263166099714323,0.23436446657902976,133,0.0,2024-01-12,signup,5,True,TLHITDPRSA,group1
0.6080652956254038,0.048627872185767806,0.3281102532106417,141,0.0,2024-01-01,signup,7,False,JMFONJZUPE,group1
0.3837629823732406,0.7846989429595821,0.3281102532106417,142,0.0,2024-01-17,signup,9,False,KNDCQISUNM,group1
0.832367608877567,0.5211776310544236,0.9374578663161192,146,1.0,2024-01-25,signup,9,False,UKEAVDRBIM,group1
0.271611825747159,0.7793431087655689,0.23436446657902976,148,0.0,2024-01-13,signup,2,True,VIQNDTATLY,group1
0.7202164522514855,0.5393259609449208,0.04687289331580596,152,0.0,2024-01-29,signup,2,False,PKMEXRHJWN,group1
